timestamp,ward,ward_name,total_beds,occupied_beds,available_beds,occupancy_rate,occupancy_percent,admissions,discharges,net_change,rag_status,hour,weekday,is_weekend
2026-05-20 15:00:00,Emergency,Emergency Department (ED),50,41,9,0.82,82.0,5,2,3,AMBER,15,2,0
2026-05-20 15:00:00,ICU,Intensive Care Unit (ICU),30,23,7,0.7667,76.7,0,1,-1,GREEN,15,2,0
2026-05-20 15:00:00,General Medicine,General Medicine Ward,120,102,18,0.85,85.0,6,0,6,AMBER,15,2,0
2026-05-20 15:00:00,Surgical Ward,Surgical & Post-Op Ward,80,58,22,0.725,72.5,3,2,1,GREEN,15,2,0
2026-05-20 15:00:00,Pediatrics,Pediatric Ward,40,26,14,0.65,65.0,1,1,0,GREEN,15,2,0
2026-05-20 16:00:00,Emergency,Emergency Department (ED),50,42,8,0.84,84.0,5,4,1,AMBER,16,2,0
2026-05-20 16:00:00,ICU,Intensive Care Unit (ICU),30,24,6,0.8,80.0,1,0,1,AMBER,16,2,0
2026-05-20 16:00:00,General Medicine,General Medicine Ward,120,105,15,0.875,87.5,4,1,3,AMBER,16,2,0
2026-05-20 16:00:00,Surgical Ward,Surgical & Post-Op Ward,80,57,23,0.7125,71.2,3,4,-1,GREEN,16,2,0
2026-05-20 16:00:00,Pediatrics,Pediatric Ward,40,27,13,0.675,67.5,2,1,1,GREEN,16,2,0
2026-05-20 17:00:00,Emergency,Emergency Department (ED),50,48,2,0.96,96.0,6,0,6,RED,17,2,0
2026-05-20 17:00:00,ICU,Intensive Care Unit (ICU),30,23,7,0.7667,76.7,0,1,-1,GREEN,17,2,0
2026-05-20 17:00:00,General Medicine,General Medicine Ward,120,111,9,0.925,92.5,8,2,6,RED,17,2,0
2026-05-20 17:00:00,Surgical Ward,Surgical & Post-Op Ward,80,58,22,0.725,72.5,3,2,1,GREEN,17,2,0
2026-05-20 17:00:00,Pediatrics,Pediatric Ward,40,30,10,0.75,75.0,3,0,3,AMBER,17,2,0
2026-05-20 18:00:00,Emergency,Emergency Department (ED),50,54,0,1.08,108.0,6,0,6,RED,18,2,0
2026-05-20 18:00:00,ICU,Intensive Care Unit (ICU),30,23,7,0.7667,76.7,0,0,0,GREEN,18,2,0
2026-05-20 18:00:00,General Medicine,General Medicine Ward,120,108,12,0.9,90.0,2,5,-3,RED,18,2,0
2026-05-20 18:00:00,Surgical Ward,Surgical & Post-Op Ward,80,62,18,0.775,77.5,4,0,4,AMBER,18,2,0
2026-05-20 18:00:00,Pediatrics,Pediatric Ward,40,33,7,0.825,82.5,3,0,3,AMBER,18,2,0
2026-05-20 19:00:00,Emergency,Emergency Department (ED),50,54,0,1.08,108.0,5,2,3,RED,19,2,0
2026-05-20 19:00:00,ICU,Intensive Care Unit (ICU),30,23,7,0.7667,76.7,1,1,0,GREEN,19,2,0
2026-05-20 19:00:00,General Medicine,General Medicine Ward,120,109,11,0.9083,90.8,5,4,1,RED,19,2,0
2026-05-20 19:00:00,Surgical Ward,Surgical & Post-Op Ward,80,63,17,0.7875,78.8,4,3,1,AMBER,19,2,0
2026-05-20 19:00:00,Pediatrics,Pediatric Ward,40,33,7,0.825,82.5,0,0,0,AMBER,19,2,0
2026-05-20 20:00:00,Emergency,Emergency Department (ED),50,54,0,1.08,108.0,4,3,1,RED,20,2,0
2026-05-20 20:00:00,ICU,Intensive Care Unit (ICU),30,21,9,0.7,70.0,0,2,-2,GREEN,20,2,0
2026-05-20 20:00:00,General Medicine,General Medicine Ward,120,110,10,0.9167,91.7,2,1,1,RED,20,2,0
2026-05-20 20:00:00,Surgical Ward,Surgical & Post-Op Ward,80,63,17,0.7875,78.8,4,4,0,AMBER,20,2,0
2026-05-20 20:00:00,Pediatrics,Pediatric Ward,40,33,7,0.825,82.5,2,2,0,AMBER,20,2,0
2026-05-20 21:00:00,Emergency,Emergency Department (ED),50,54,0,1.08,108.0,8,2,6,RED,21,2,0
2026-05-20 21:00:00,ICU,Intensive Care Unit (ICU),30,21,9,0.7,70.0,0,0,0,GREEN,21,2,0
2026-05-20 21:00:00,General Medicine,General Medicine Ward,120,116,4,0.9667,96.7,6,0,6,RED,21,2,0
2026-05-20 21:00:00,Surgical Ward,Surgical & Post-Op Ward,80,64,16,0.8,80.0,3,2,1,AMBER,21,2,0
2026-05-20 21:00:00,Pediatrics,Pediatric Ward,40,33,7,0.825,82.5,1,1,0,AMBER,21,2,0
2026-05-20 22:00:00,Emergency,Emergency Department (ED),50,54,0,1.08,108.0,6,6,0,RED,22,2,0
2026-05-20 22:00:00,ICU,Intensive Care Unit (ICU),30,22,8,0.7333,73.3,1,0,1,GREEN,22,2,0
2026-05-20 22:00:00,General Medicine,General Medicine Ward,120,118,2,0.9833,98.3,3,1,2,RED,22,2,0
2026-05-20 22:00:00,Surgical Ward,Surgical & Post-Op Ward,80,67,13,0.8375,83.8,4,1,3,AMBER,22,2,0
2026-05-20 22:00:00,Pediatrics,Pediatric Ward,40,32,8,0.8,80.0,1,2,-1,AMBER,22,2,0
2026-05-20 23:00:00,Emergency,Emergency Department (ED),50,54,0,1.08,108.0,2,2,0,RED,23,2,0
2026-05-20 23:00:00,ICU,Intensive Care Unit (ICU),30,22,8,0.7333,73.3,0,0,0,GREEN,23,2,0
2026-05-20 23:00:00,General Medicine,General Medicine Ward,120,117,3,0.975,97.5,3,4,-1,RED,23,2,0
2026-05-20 23:00:00,Surgical Ward,Surgical & Post-Op Ward,80,70,10,0.875,87.5,5,2,3,AMBER,23,2,0
2026-05-20 23:00:00,Pediatrics,Pediatric Ward,40,32,8,0.8,80.0,1,1,0,AMBER,23,2,0
