timestamp,ward,occupied_beds,total_beds,admissions,discharges
2026-08-16 15:00:00,Emergency,42,50,2,1
2026-08-16 15:00:00,ICU,24,30,2,1
2026-08-16 16:00:00,Emergency,42,50,4,2
2026-08-16 16:00:00,ICU,24,30,0,0
2026-08-16 17:00:00,Emergency,45,50,2,2
2026-08-16 17:00:00,ICU,27,30,1,1
2026-08-16 18:00:00,Emergency,45,50,3,2
2026-08-16 18:00:00,ICU,23,30,2,2
2026-08-16 19:00:00,Emergency,45,50,4,4
2026-08-16 19:00:00,ICU,24,30,0,2
2026-08-16 20:00:00,Emergency,36,50,4,4
2026-08-16 20:00:00,ICU,27,30,1,2
2026-08-16 21:00:00,Emergency,42,50,5,1
2026-08-16 21:00:00,ICU,28,30,2,2
2026-08-16 22:00:00,Emergency,42,50,3,2
2026-08-16 22:00:00,ICU,23,30,1,2
2026-08-16 23:00:00,Emergency,44,50,6,4
2026-08-16 23:00:00,ICU,22,30,1,2
2026-08-17 00:00:00,Emergency,42,50,4,1
2026-08-17 00:00:00,ICU,25,30,2,0
2026-08-17 01:00:00,Emergency,40,50,2,2
2026-08-17 01:00:00,ICU,27,30,2,1
2026-08-17 02:00:00,Emergency,43,50,4,4
2026-08-17 02:00:00,ICU,24,30,1,2
2026-08-17 03:00:00,Emergency,43,50,6,5
2026-08-17 03:00:00,ICU,28,30,1,1
2026-08-17 04:00:00,Emergency,34,50,4,5
2026-08-17 04:00:00,ICU,25,30,2,1
2026-08-17 05:00:00,Emergency,43,50,4,5
2026-08-17 05:00:00,ICU,28,30,1,0
2026-08-17 06:00:00,Emergency,48,50,6,2
2026-08-17 06:00:00,ICU,22,30,2,1
2026-08-17 07:00:00,Emergency,36,50,3,4
2026-08-17 07:00:00,ICU,28,30,0,0
2026-08-17 08:00:00,Emergency,47,50,6,1
2026-08-17 08:00:00,ICU,26,30,0,1
2026-08-17 09:00:00,Emergency,35,50,5,4
2026-08-17 09:00:00,ICU,23,30,0,0
2026-08-17 10:00:00,Emergency,40,50,4,3
2026-08-17 10:00:00,ICU,24,30,2,1
2026-08-17 11:00:00,Emergency,44,50,6,4
2026-08-17 11:00:00,ICU,24,30,1,1
2026-08-17 12:00:00,Emergency,44,50,6,4
2026-08-17 12:00:00,ICU,24,30,1,1
2026-08-17 13:00:00,Emergency,48,50,5,3
2026-08-17 13:00:00,ICU,22,30,0,1
2026-08-17 14:00:00,Emergency,41,50,5,3
2026-08-17 14:00:00,ICU,22,30,0,0
2026-08-17 15:00:00,Emergency,40,50,6,4
2026-08-17 15:00:00,ICU,24,30,2,1
2026-08-17 16:00:00,Emergency,46,50,6,2
2026-08-17 16:00:00,ICU,24,30,2,0
2026-08-17 17:00:00,Emergency,39,50,2,4
2026-08-17 17:00:00,ICU,25,30,1,1
2026-08-17 18:00:00,Emergency,39,50,2,2
2026-08-17 18:00:00,ICU,23,30,1,1
2026-08-17 19:00:00,Emergency,38,50,2,5
2026-08-17 19:00:00,ICU,26,30,2,1
2026-08-17 20:00:00,Emergency,48,50,4,1
2026-08-17 20:00:00,ICU,23,30,0,0
2026-08-17 21:00:00,Emergency,42,50,5,5
2026-08-17 21:00:00,ICU,25,30,0,2
2026-08-17 22:00:00,Emergency,46,50,3,3
2026-08-17 22:00:00,ICU,28,30,1,0
2026-08-17 23:00:00,Emergency,45,50,2,4
2026-08-17 23:00:00,ICU,22,30,0,1
2026-08-18 00:00:00,Emergency,37,50,2,5
2026-08-18 00:00:00,ICU,24,30,1,0
2026-08-18 01:00:00,Emergency,48,50,3,5
2026-08-18 01:00:00,ICU,27,30,1,0
2026-08-18 02:00:00,Emergency,36,50,2,3
2026-08-18 02:00:00,ICU,27,30,0,2
2026-08-18 03:00:00,Emergency,43,50,6,2
2026-08-18 03:00:00,ICU,22,30,2,1
2026-08-18 04:00:00,Emergency,45,50,2,2
2026-08-18 04:00:00,ICU,24,30,2,2
2026-08-18 05:00:00,Emergency,34,50,6,4
2026-08-18 05:00:00,ICU,27,30,0,2
2026-08-18 06:00:00,Emergency,41,50,6,4
2026-08-18 06:00:00,ICU,28,30,2,1
2026-08-18 07:00:00,Emergency,36,50,4,3
2026-08-18 07:00:00,ICU,23,30,2,1
2026-08-18 08:00:00,Emergency,35,50,3,3
2026-08-18 08:00:00,ICU,25,30,2,1
2026-08-18 09:00:00,Emergency,42,50,2,3
2026-08-18 09:00:00,ICU,24,30,0,1
2026-08-18 10:00:00,Emergency,37,50,4,4
2026-08-18 10:00:00,ICU,28,30,2,1
2026-08-18 11:00:00,Emergency,38,50,6,1
2026-08-18 11:00:00,ICU,26,30,1,1
2026-08-18 12:00:00,Emergency,44,50,3,5
2026-08-18 12:00:00,ICU,24,30,2,0
2026-08-18 13:00:00,Emergency,48,50,4,5
2026-08-18 13:00:00,ICU,28,30,2,2
2026-08-18 14:00:00,Emergency,34,50,3,4
2026-08-18 14:00:00,ICU,22,30,0,2
